experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
OpenMP-CPU-Baseline,FlatScalar-Pthread1T,1,method,0,19.419183,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,baseline_for_speedup_only
OpenMP-CPU-Flat,Query-static,1,schedule,0,12.402280,1.000000,1.565775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-static,2,schedule,0,6.160137,1.000000,3.152395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-static,4,schedule,0,3.186187,1.000000,6.094804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-static,8,schedule,0,1.962640,1.000000,9.894419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-dynamic,1,schedule,1,7.191890,1.000000,2.700150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-dynamic,2,schedule,1,3.499320,1.000000,5.549416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-dynamic,4,schedule,1,2.508510,1.000000,7.741322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-Flat,Query-dynamic,8,schedule,1,1.952743,1.000000,9.944565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=NEON-PrefetchTopK
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,1,local_p,100,12.167827,1.000000,1.595945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,8,local_p,100,3.192717,1.000000,6.082338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,1,local_p,100,11.803800,1.000000,1.645164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,8,local_p,100,2.950813,1.000000,6.580960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,1,local_p,500,10.305200,1.000000,1.884406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,8,local_p,500,4.341290,1.000000,4.473137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,1,local_p,500,7.271007,1.000000,2.670770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,8,local_p,500,4.126350,1.000000,4.706141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-PQ-ADC,M16-static,1,p,500,3.221067,0.948700,6.028805,1.698304,1.058800,0.000000,29.693333,2221.450000,776.840000,169.810000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,2,p,500,1.603053,0.948700,12.113872,1.698304,1.058800,0.000000,29.893333,2201.540000,774.420000,167.833333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,4,p,500,0.843810,0.948700,23.013692,1.698304,1.058800,0.000000,31.733333,2220.763333,775.966667,185.920000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,8,p,500,0.639770,0.948700,30.353382,1.698304,1.058800,0.000000,31.896667,2784.286667,836.006667,268.603333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,1,p,500,3.224000,0.948700,6.023320,1.698304,1.058800,0.000000,30.123333,2220.593333,779.140000,171.050000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,2,p,500,1.609907,0.948700,12.062304,1.698304,1.058800,0.000000,29.656667,2200.403333,773.480000,166.560000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,4,p,500,0.837467,0.948700,23.188007,1.698304,1.058800,0.000000,30.506667,2226.890000,773.973333,193.553333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,8,p,500,0.604970,0.948700,32.099415,1.698304,1.058800,0.000000,47.046667,3001.493333,1035.466667,268.976667,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,1,p,1000,3.381720,0.990800,5.742398,1.698304,1.058800,0.000000,29.720000,2224.666667,786.260000,317.233333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,2,p,1000,1.696013,0.990800,11.449900,1.698304,1.058800,0.000000,30.463333,2220.886667,780.610000,296.733333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,4,p,1000,0.836773,0.990800,23.207221,1.698304,1.058800,0.000000,30.590000,2213.406667,779.303333,288.883333,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,8,p,1000,0.683850,0.990800,28.396846,1.698304,1.058800,0.000000,34.703333,2883.953333,943.676667,375.626667,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,1,p,1000,3.376257,0.990800,5.751690,1.698304,1.058800,0.000000,30.226667,2220.816667,785.006667,316.360000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,2,p,1000,1.682290,0.990800,11.543303,1.698304,1.058800,0.000000,29.790000,2200.106667,778.120000,294.326667,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,4,p,1000,0.878280,0.990800,22.110470,1.698304,1.058800,0.000000,31.203333,2210.000000,778.700000,345.346667,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,8,p,1000,0.631290,0.990800,30.761113,1.698304,1.058800,0.000000,32.043333,3060.700000,912.423333,586.996667,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-IVF,nl512-static,1,nprobe,16,0.807930,0.888900,24.035725,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,2,nprobe,16,0.406470,0.888900,47.775195,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,4,nprobe,16,0.212180,0.888900,91.522214,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,8,nprobe,16,0.211230,0.888900,91.933832,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,1,nprobe,16,0.852210,0.888900,22.786852,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,2,nprobe,16,0.419440,0.888900,46.297881,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,4,nprobe,16,0.248663,0.888900,78.094277,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,8,nprobe,16,0.196677,0.888900,98.736590,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,1,nprobe,32,1.536323,0.950767,12.640037,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,2,nprobe,32,0.743320,0.950767,26.124930,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,4,nprobe,32,0.518113,0.950767,37.480571,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-static,8,nprobe,32,0.416483,0.950767,46.626556,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,1,nprobe,32,1.561803,0.950767,12.433821,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,2,nprobe,32,0.886620,0.950767,21.902487,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,4,nprobe,32,0.475000,0.950767,40.882491,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
OpenMP-CPU-IVF,nl512-dynamic,8,nprobe,32,0.338880,0.950767,57.304011,0.000000,59.698708,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; coarse_plus_fine_scan
